0,1,10
1,-1,-1
2,-1,-1
3,0,6
4,2,10
5,2,12
6,2,13
7,3,14
8,3,15
9,3,15
10,3,15
11,3,15
12,3,15
13,3,16
14,3,15
15,3,15
16,3,16
17,3,16
18,3,16
19,3,16
20,3,16
21,3,16
22,3,16
23,3,17
24,3,17
25,3,16
26,3,17
27,3,18
28,3,18
29,3,19
30,3,19
31,3,18
32,3,19
33,3,19
34,3,19
35,3,19
36,3,19
37,3,19
38,3,19
39,3,18
40,3,19
41,3,19
42,3,19
43,3,19
44,3,19
45,3,19
46,3,18
47,3,19
48,3,19
49,3,19
50,3,19
51,3,17
52,1,7
53,10,44
54,3,18
55,814,1
56,811,10
57,812,7
58,812,7
59,812,7
60,812,7
61,812,7
62,812,6
63,812,7
64,811,11
65,808,17
66,807,17
67,809,14
68,810,12
69,811,10
70,811,9
71,812,9
72,812,8
73,812,8
74,812,8
75,812,8
76,812,7
77,812,7
78,812,7
79,812,7
80,812,7
81,812,7
82,812,7
83,812,7
84,812,7
85,812,7
86,812,7
87,812,7
88,812,7
89,812,7
90,812,7
91,812,8
92,812,8
93,812,8
94,812,7
95,812,8
96,812,8
97,812,7
98,812,7
99,812,7
100,812,8
101,812,8
102,811,10
103,807,19
104,807,18
105,807,18
106,807,17
107,809,14
108,810,11
109,811,10
110,812,9
111,812,8
112,812,8
113,812,8
114,812,8
115,812,7
116,812,7
117,812,7
118,812,7
119,812,8
120,812,7
121,812,7
122,812,7
123,812,7
124,812,7
125,812,7
126,812,7
127,812,7
128,812,7
129,812,7
130,812,8
131,812,7
132,812,8
133,812,8
134,812,8
135,812,8
136,812,8
137,812,7
138,812,8
139,812,8
140,812,8
141,812,7
142,812,8
143,812,8
144,812,8
145,812,8
146,812,8
147,812,8
148,812,8
149,812,8
150,812,7
151,812,8
152,812,8
153,812,8
154,812,8
155,812,8
156,812,8
157,812,8
158,807,18
159,808,17
160,809,14
161,811,12
162,811,10
163,811,9
164,812,9
165,812,8
166,812,8
167,812,8
168,812,8
169,812,8
170,812,8
171,812,8
172,812,8
173,812,8
174,812,8
175,812,8
176,812,7
177,812,8
178,812,8
179,812,8
180,812,8
181,812,8
182,812,8
183,812,8
184,812,8
185,812,8
186,812,8
187,812,8
188,812,8
189,812,8
190,812,8
191,812,8
192,812,8
193,812,8
194,812,8
195,812,8
196,812,8
197,812,8
198,812,8
199,812,8
200,812,8
201,812,8
202,812,8
203,812,7
204,812,8
205,812,8
206,812,8
207,812,7
208,812,7
209,812,7
210,812,8
211,812,8
212,812,8
213,812,8
214,812,8
215,812,7
216,812,8
217,812,8
218,812,8
219,812,8
220,812,8
221,812,8
222,812,8
223,812,8
224,812,7
225,812,7
226,812,8
227,812,8
228,812,8
229,812,8
230,812,8
231,812,8
232,812,8
233,812,8
234,812,8
235,812,8
236,812,8
237,812,8
238,812,8
239,812,8
240,812,8
241,812,8
242,812,8
243,812,8
244,812,8
245,812,8
246,812,8
247,812,8
248,812,8
249,812,8
250,812,8
251,812,8
252,812,8
253,812,8
254,812,8
255,812,8
256,812,8
257,812,8
258,812,8
259,812,8
260,812,8
261,812,8
262,812,8
263,812,8
264,812,8
265,812,8
266,812,7
267,812,8
268,812,8
269,812,8
270,812,8
271,812,8
272,812,8
273,812,8
274,812,9
275,812,8
276,812,8
277,812,8
278,812,8
279,812,8
280,812,8
281,812,8
282,812,8
283,812,8
284,812,8
285,812,8
286,812,8
287,812,8
288,812,8
289,812,8
290,812,8
291,812,8
292,812,8
293,812,8
294,812,8
295,812,8
296,812,9
297,812,8
298,812,8
299,812,9
300,812,8
301,812,8
302,812,8
303,812,8
304,812,8
305,812,8
306,812,8
307,812,8
308,812,8
309,812,8
310,812,8
311,812,8
312,812,8
313,812,8
314,812,8
315,812,8
316,812,9
317,812,9
318,812,8
319,812,8
320,812,8
321,812,8
322,812,8
323,812,8
324,812,8
325,812,8
326,812,8
327,812,8
328,812,8
329,812,8
330,812,8
331,812,8
332,812,8
333,812,8
334,812,9
335,812,8
336,812,9
337,812,9
338,812,8
339,812,9
340,812,8
341,812,8
342,812,8
343,812,8
344,812,8
345,812,9
346,812,9
347,812,9
348,812,9
349,812,8
350,812,9
351,812,8
352,812,8
353,812,9
354,812,9
355,812,8
356,812,8
357,812,8
358,812,9
359,812,8
360,812,8
361,812,8
362,812,7
363,812,8
364,812,7
365,812,7
366,812,7
367,812,7
368,812,7
369,812,7
370,812,7
371,812,7
372,812,7
373,812,7
374,812,8
375,812,7
376,812,7
377,812,7
378,812,7
379,812,8
380,812,8
381,812,8
382,812,8
383,812,8
384,812,7
385,812,8
386,812,7
387,812,7
388,812,8
389,812,7
390,812,8
391,812,7
392,812,8
393,812,8
394,812,8
395,812,7
396,812,8
397,812,7
398,812,7
399,812,7
400,812,8
401,812,8
402,812,8
403,812,8
404,812,8
405,812,8
406,812,8
407,812,8
408,812,7
409,812,8
410,812,8
411,812,8
412,812,8
413,812,8
414,812,7
415,812,7
416,812,7
417,812,8
418,812,8
419,812,8
420,812,8
421,812,8
422,812,8
423,812,8
424,812,8
425,812,8
426,812,8
427,812,8
428,812,8
429,812,8
430,812,8
431,812,7
432,812,8
433,812,8
434,812,8
435,812,8
436,812,7
437,812,8
438,812,8
439,812,8
440,812,8
441,812,8
442,812,9
443,812,9
444,812,8
445,812,8
446,812,8
447,812,8
448,812,8
449,812,8
450,812,8
451,812,8
452,812,8
453,812,8
454,812,8
455,812,8
456,812,7
457,812,7
458,812,7
459,812,6
460,812,7
461,812,7
462,812,7
463,812,7
464,812,6
465,812,6
466,812,6
467,812,6
468,812,6
469,812,6
470,812,6
471,812,7
472,812,7
473,812,7
474,812,7
475,812,7
476,812,6
477,812,6
478,812,7
479,812,7
480,812,6
481,812,6
482,812,7
483,812,6
484,812,7
485,812,7
486,812,7
487,812,6
488,812,6
489,812,6
490,812,6
491,812,6
492,812,6
493,812,6
494,812,6
495,812,7
496,812,7
497,812,6
498,812,7
