11477, 0, 316624,324,260
11477, 1, 254708,321,203
11477, 2, 249965,325,198
11477, 3, 248942,325,197
11477, 4, 252139,326,200
11477, 5, 252927,324,200
11477, 6, 253429,325,200
11477, 7, 248337,324,198
11477, 8, 245592,325,192
11477, 9, 244127,326,191
11477, 10, 254522,318,210
11477, 11, 253571,314,208
11477, 12, 254858,313,213
11477, 13, 254989,311,212
11477, 14, 254745,313,214
11477, 15, 253336,313,214
11477, 16, 252264,312,210
11477, 17, 251661,312,210
11477, 18, 251257,311,213
11477, 19, 250638,311,215
11477, 20, 253554,312,216
11477, 21, 252527,311,215
11477, 22, 250130,312,214
11477, 23, 246475,313,212
11477, 24, 252531,312,215
11477, 25, 249048,313,213
11477, 26, 252032,312,215
11477, 27, 250066,312,214
11477, 28, 247393,312,213
11477, 29, 251143,311,215
11477, 30, 250986,311,215
11477, 31, 251987,312,215
11477, 32, 252330,310,219
11477, 33, 249095,311,215
11477, 34, 256578,309,222
11477, 35, 256732,310,226
11477, 36, 253381,309,221
11477, 37, 254411,309,221
11477, 38, 252729,309,221
11477, 39, 255711,310,223
11477, 40, 250624,311,217
11477, 41, 251511,309,217
11477, 42, 251982,310,216
11477, 43, 250254,309,215
11477, 44, 250114,311,215
11477, 45, 251531,312,215
11477, 46, 251394,313,215
11477, 47, 253000,311,216
11477, 48, 283815,321,242
11477, 49, 288358,322,249
11477, 50, 302884,326,255
11477, 51, 303253,327,256
11477, 52, 302117,329,253
11477, 53, 297714,313,242
11477, 54, 299410,315,241
11477, 55, 301305,330,250
11477, 56, 303619,333,249
11477, 57, 298457,324,242
11477, 58, 281705,320,234
11477, 59, 277813,323,232
11477, 60, 279044,323,232
11477, 61, 277307,324,231
11477, 62, 275154,321,232
11477, 63, 272907,321,231
11477, 64, 276719,323,234
11477, 65, 278893,320,239
11477, 66, 286720,319,245
11477, 67, 254153,311,220
11477, 68, 248122,314,212
11477, 69, 249931,314,212
11477, 70, 258333,313,220
11477, 71, 255557,315,218
11477, 72, 255115,313,215
11477, 73, 253255,314,213
11477, 74, 260466,313,221
11477, 75, 251435,316,211
11477, 76, 257410,315,218
11477, 77, 254800,315,212
11477, 78, 258861,315,218
11477, 79, 257404,316,217
11477, 80, 252549,315,211
11477, 81, 253078,317,211
11477, 82, 254982,315,216
11477, 83, 252416,316,211
11477, 84, 253350,315,212
11477, 85, 257961,314,219
11477, 86, 252996,315,212
11477, 87, 251569,317,210
11477, 88, 252320,316,211
11477, 89, 248402,318,208
11477, 90, 253461,317,211
11477, 91, 258774,316,217
11477, 92, 250142,317,208
11477, 93, 252703,317,211
11477, 94, 252796,317,211
11477, 95, 254832,318,216
11477, 96, 255054,316,217
11477, 97, 254640,318,216
11477, 98, 249972,317,210
11477, 99, 254883,316,217
11477, 100, 251046,317,212
11477, 101, 256022,316,218
11477, 102, 253914,315,213
11477, 103, 253144,309,217
11477, 104, 250285,309,215
11477, 105, 252336,308,216
11477, 106, 258893,309,222
11477, 107, 257016,312,220
11477, 108, 249573,314,212
11477, 109, 251970,316,212
11477, 110, 249990,316,212
11477, 111, 249208,316,211
11477, 112, 255586,317,217
11477, 113, 256769,317,218
11477, 114, 273990,321,231
